publisher,visual,rank
Haksan Munhwasa,15333.5000,202
Creation Cabin Limited,14905.5000,203
Cosmic International,14799.0000,204
Sony Magazines,14610.0000,205
Ikaros Shuppan,14324.5000,206
Gempak Starz,14295.0000,207
Qutie Comics,14219.5000,208
Studio DNA,13955.5000,209
Byakuya Shobo,13865.0000,210
Bijutsu Shuppansha,13396.5000,211
Chuuou Kouronshinsha,13093.0000,212
Hyung Seul Life,13008.5000,213
Taiyohtosho,12713.0000,214
Shinchousha,12001.0000,215
Rice River Comics,11949.0000,216
Take Shoubo,11787.0000,217
Asuka Shinsha,11618.5000,218
Seirin Kogeisha,11577.5000,219
Penguin Shobou,11193.0000,220
Outou Shoubou,11085.0000,221
June-NET,11051.0000,222
Magazine House,11036.5000,223
Biblios,10894.5000,224
Chuokoron-Shinsha,10807.5000,225
Koudansha,10678.5000,226
Pot Shuppan,10536.0000,227
Kindai Eigasha,10396.0000,228
Kodama Shuppan,10083.0000,229
Houmusha,9896.0000,230
Xiao Pan,9687.5000,231
Akebono Shuppan,9498.0000,232
Haksan Publishing Ltd.,9457.0000,233
Kakaopage,9308.0000,234
Kisou Tengaisha,9177.5000,235
Hwangmae,9094.5000,236
Medi-a-tion,8831.0000,237
Poplar,8825.5000,238
Haksan Culture Company,8773.0000,239
Shufu to Seikatsusha,8714.0000,240
Chuuou Kouron Shinsha,8639.5000,241
Seven Seas,8638.0000,242
Seiji Biblos,8636.5000,243
Haengbokhan Manhwa Kage,8360.5000,244
Julian Publishing,8320.0000,245
Kitansha,8317.0000,246
Team Mania,8234.5000,247
Scholar,8196.5000,248
Chuuoukouron Shinsha,8140.0000,249
Shufunotomo,8079.5000,250
TOPTOON,7724.5000,251
Dai Nippon Kaiga,7550.0000,252
New Century Press,7322.0000,253
Nippon Housou Shuppan Kyoukai,7243.5000,254
Souryusha,7121.0000,255
Del Rey,7083.5000,256
Shounen Gahosha,6995.0000,257
Kawade,6710.5000,258
Brite Shuppan,6139.0000,259
Fujimi Shuppan,6014.0000,260
Kousai Shobo,5952.0000,261
Akane Shinsha,5925.0000,262
Kaiseisha,5847.5000,263
Youmedia,5799.0000,264
Takeshobou,5625.0000,265
Gakushuu Kenkyusha,5573.0000,266
Ocean Comics,5410.5000,267
Home Sha,5381.5000,268
Touen Shobou,5246.0000,269
DrMaster,5116.5000,270
Outo Shobo,5074.0000,271
Capcom,5039.5000,272
Emotion,5002.5000,273
Chingwin,4774.5000,274
1-Gatsu to 7-Gatsu,4746.5000,275
Wakoh Shuppan,4698.0000,276
Carlsen Comics,4625.0000,277
Gakudosha,4532.5000,278
Kawade Shobo Shinsha,4522.5000,279
Ocean Creative Company Ltd,4522.0000,280
Penguin-shobo,4513.5000,281
Media Blasters,4472.5000,282
Cork,4425.5000,283
Wu Xing Ji Hua Bao She Chu Ban,4225.0000,284
Tairiku Shobou,4220.0000,285
Fuji Shobou,4204.0000,286
Paradigm,4113.5000,287
Chungeoram,4035.0000,288
Sansai Books,3966.5000,289
Oota Shuppan,3906.0000,290
China Times Publishing,3869.0000,291
Yes Communication Ltd.,3778.0000,292
NHK Shuppan,3775.5000,293
Shobunsha,3763.0000,294
Diamond Comics,3762.5000,295
Hunan Children's Publishing House,3750.5000,296
Fusosha,3672.5000,297
Chuokoron Shinsha,3565.5000,298
Chuokoron-sha,3432.0000,299
Shinkigensha,3425.0000,300
Bungei Shunjuu,3383.0000,301
DianYa,3222.0000,302
Bungei Shunju,3007.0000,303
ASCII,2995.0000,304
Tokyo Sogensha,2959.0000,305
Tokyo Itoi Shigesato Office,2941.0000,306
Takarajimasha,2734.0000,307
BNN Inc.,2698.0000,308
TI Net,2669.0000,309
Happy Comics Works,2488.5000,310
Hayakawa Publishing,2432.0000,311
Haksan Publishing Co,2421.0000,312
Earth Shuppan,2364.0000,313
Tsukasa Shobou,2304.0000,314
Softbank Publishing,2183.0000,315
Hainan Publishing House,1955.0000,316
"LEED Publishing CO.,Ltd.",1759.5000,317
Biz Japan,1734.0000,318
Shanghai Brilliant Publishing House,1635.0000,319
Ikuei Shuppan,1618.0000,320
GCKBOOK,1589.0000,321
Hakusensha & Kaiseisha,1454.0000,322
